Name,State,Category,Policy_Incentive_Type,Created,Last_Updated
Tipmont REMC - Energy Efficiency Equipment Rebate Program,IN,Financial Incentive,Rebate Program,8/21/2007,7/10/2025
Carroll White REMC - Residential Heat Pump Rebate Program,IN,Financial Incentive,Rebate Program,8/21/2007,7/24/2024
Energy Efficient State Building Initiative,IN,Regulatory Policy,Energy Standards for Public Buildings,8/26/2008,6/20/2024
CenterPoint Energy - Residential Energy Efficiency Rebates,IN,Financial Incentive,Rebate Program,9/8/2008,9/24/2024
CenterPoint Energy (Gas) - Commercial Energy Efficiency Rebates,IN,Financial Incentive,Rebate Program,9/9/2008,8/21/2024
Citizens Gas - Residential Efficiency Rebates,IN,Financial Incentive,Rebate Program,11/20/2008,9/27/2024
Citizens Gas - Commercial Efficiency Rebates,IN,Financial Incentive,Rebate Program,11/20/2008,9/27/2024
NIPSCO (Gas & Electric) - Residential Energy Efficiency Program,IN,Financial Incentive,Rebate Program,11/25/2008,5/16/2024
City of Bloomington - Green Building Requirements for Municipal Buildings,IN,Regulatory Policy,Energy Standards for Public Buildings,7/14/2009,6/21/2024
Southeastern Indiana REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,8/5/2009,5/15/2024
Parke County REMC - Energy Efficient Equipment Rebate Program,IN,Financial Incentive,Rebate Program,2/10/2010,8/28/2024
AES Indiana - Business Energy Incentives Program,IN,Financial Incentive,Rebate Program,9/30/2010,4/22/2024
Electric Efficiency Standard,IN,Regulatory Policy,Energy Efficiency Resource Standard,12/15/2010,6/30/2025
Indiana Michigan Power - Energy Savings Rebate Program,IN,Financial Incentive,Rebate Program,2/8/2011,7/14/2025
Indiana Michigan Power - Commercial and Industrial Rebate Program,IN,Financial Incentive,Rebate Program,2/8/2011,8/21/2024
Wabash Valley Power Association (23 Member Cooperatives) - Commercial and Industrial Energy Efficiency Program,IN,Financial Incentive,Rebate Program,2/24/2011,7/22/2024
Clean Energy Portfolio Standard,IN,Regulatory Policy,Renewables Portfolio Standard,5/19/2011,11/18/2024
Indianapolis Power & Light - Residential Energy Incentives Program,IN,Financial Incentive,Rebate Program,9/30/2010,5/14/2024
CenterPoint Energy (Electric) - Commercial New Construction Rebates,IN,Financial Incentive,Rebate Program,9/9/2008,8/21/2024
City of Bloomington - Sustainable Development Incentives,IN,Financial Incentive,Green Building Incentive,10/11/2011,10/6/2022
Sales and Use Tax Exemption for Electrical Generating Equipment,IN,Financial Incentive,Sales Tax Incentive,2/8/2012,12/12/2024
Wabash Valley Power Association (28 Member Cooperatives) - Residential Energy Efficiency Program,IN,Financial Incentive,Rebate Program,2/22/2012,8/28/2024
Community Conservation Challenge,IN,Financial Incentive,Grant Program,10/10/2012,12/15/2020
Johnson County REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,3/6/2013,7/24/2024
NIPSCO - Feed-In Tariff,IN,Financial Incentive,Feed-in Tariff,2/5/2015,9/19/2023
NIPSCO (Gas & Electric) Small Business Direct Install Program,IN,Financial Incentive,Grant Program,4/2/2015,7/25/2024
NIPSCO (Gas & Electric) - Commercial & Industrial Energy Efficiency Program,IN,Financial Incentive,Rebate Program,4/2/2015,8/22/2024
Noble REMC - Residential Energy Efficiency Rebate Incentives,IN,Financial Incentive,Rebate Program,4/9/2015,7/24/2024
CenterPoint Energy - Residential New Construction Rebates,IN,Financial Incentive,Rebate Program,8/28/2020,9/25/2024
Indiana Volkswagen Mitigation Trust Program,IN,Financial Incentive,Grant Program,6/3/2021,12/31/2021
Indiana Michigan Power - Residential Electric Vehicle Charging Rebate,IN,Financial Incentive,Rebate Program,7/17/2021,6/23/2023
Indiana Michigan Power - Charge Point Program,IN,Financial Incentive,Rebate Program,7/17/2021,6/16/2025
AES Indiana - EV Managed Charging Program,IN,Financial Incentive,Rebate Program,10/5/2023,10/5/2023
Duke Energy Indiana - Commercial Charger Rebate,IN,Financial Incentive,Rebate Program,10/5/2023,10/5/2023
Duke Energy Indiana Off-Peak Charging Credit,IN,Financial Incentive,Performance-Based Incentive,10/5/2023,10/5/2023
Volkswagen Environmental Mitigation Trust Program,IN,Financial Incentive,Grant Program,3/21/2024,3/21/2024
Duke Energy Indiana - Electric School Bus Charging,IN,Financial Incentive,Grant Program,3/21/2024,3/21/2024
Indiana - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,IN,Financial Incentive,Grant Program,6/13/2024,6/13/2024
Kansas Solar Easement Laws,KS,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,11/5/2023
Renewable Energy Property Tax Exemption,KS,Financial Incentive,Property Tax Incentive,1/1/2000,10/9/2024
Building Energy Code,KS,Regulatory Policy,Building Energy Code,6/30/2006,6/18/2023
City of Greensburg - Green Building Requirement for New Municipal Buildings,KS,Regulatory Policy,Energy Standards for Public Buildings,1/31/2008,6/21/2024
Midwest Energy (Gas and Electric) - How$mart Energy Efficiency Finance Program,KS,Financial Incentive,Loan Program,12/19/2008,7/3/2025
Kansas City Board of Public Utilities - Commercial Energy Efficiency Rebate Program,KS,Financial Incentive,Rebate Program,3/11/2009,7/3/2025
Renewable Energy Goal,KS,Regulatory Policy,Renewables Portfolio Standard,5/27/2009,11/18/2024
Net Metering,KS,Regulatory Policy,Net Metering,5/29/2009,2/28/2025
Interconnection Guidelines,KS,Regulatory Policy,Interconnection,6/8/2009,5/29/2024
City of Wichita - Solar Contractor Licensing,KS,Regulatory Policy,Solar/Wind Contractor Licensing,11/3/2014,12/19/2024
Energy Efficiency Standards for Public Facilities,KS,Regulatory Policy,Energy Standards for Public Buildings,11/6/2014,7/8/2024
Wichita City - Solar Permitting,KS,Regulatory Policy,Solar/Wind Permitting Standards,11/15/2016,8/16/2023
Kentucky Solar Easements Laws,KY,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,9/22/2023
Net Billing,KY,Regulatory Policy,Net Metering,5/4/2004,4/3/2025
Duke Energy - Residential Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,5/31/2006,6/20/2023
Duke Energy - Non-Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,5/31/2006,8/30/2024
Building Energy Code,KY,Regulatory Policy,Building Energy Code,7/27/2006,6/18/2023
Blue Grass Energy - Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,9/8/2006,5/13/2024
Together We Save - Kentucky's Touchstone Energy Cooperatives (16 Cooperatives),KY,Financial Incentive,Rebate Program,9/25/2006,5/3/2024
Owen Electric - Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,9/26/2006,5/10/2024
Salt River Electric - Residential Energy Efficiency Rebate Programs,KY,Financial Incentive,Rebate Program,9/27/2006,5/6/2024
South Kentucky RECC - Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,9/27/2006,5/6/2024
Tax Exemption for Large-Scale Renewable Energy Projects,KY,Financial Incentive,Sales Tax Incentive,10/8/2007,12/12/2024
Sales Tax Exemption for Manufacturing Facilities,KY,Financial Incentive,Sales Tax Incentive,10/10/2007,12/12/2024
Energy Efficiency Program for State Government Buildings,KY,Regulatory Policy,Energy Standards for Public Buildings,5/13/2008,6/10/2024
Interconnection Standards,KY,Regulatory Policy,Interconnection,1/14/2009,5/30/2024
Taylor County RECC - Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,2/11/2009,1/14/2025
Farmers RECC - Heat Pump Retrofit Rebate Program,KY,Financial Incentive,Rebate Program,2/11/2009,1/13/2025
Kentucky Power - Targeted Energy Efficiency Program,KY,Financial Incentive,Rebate Program,9/23/2009,1/13/2025
Kentucky Utilities Company and Louisville Gas & Electric- Commercial Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,2/2/2010,9/12/2024
Energy Efficiency Loans for State Government Agencies,KY,Financial Incentive,Loan Program,2/16/2010,6/14/2024
On-Farm Energy Efficiency Grant Program,KY,Financial Incentive,Grant Program,1/15/2010,4/2/2021
Columbia Gas of Kentucky - Low Income Furnace Replacement Program,KY,Financial Incentive,Rebate Program,5/6/2010,5/6/2024
TVA - Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,3/5/2015,10/16/2023
Kentucky PACE Financing,KY,Financial Incentive,PACE Financing,6/22/2015,1/2/2024
City of Louisville - Go Green Loan Program,KY,Financial Incentive,Loan Program,8/17/2016,5/28/2021
TVA - Commercial Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,6/2/2020,10/16/2023
Sales Tax Exemption - Machinery for New and Expanded Industry,KY,Financial Incentive,Sales Tax Incentive,12/5/2023,12/12/2024
Kentucky - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,KY,Financial Incentive,Grant Program,6/13/2024,6/13/2024
Louisville Gas and Electric and Kentucky Utilities   Online Marketplace,KY,Financial Incentive,Rebate Program,9/12/2024,9/12/2024
Louisville Gas and Electric and Kentucky Utilities   WeCare for Homeowners and Renters,KY,Financial Incentive,Rebate Program,9/12/2024,9/12/2024
Louisville Gas and Electric and Kentucky Utilities   WeCare for Apartment Building Owners,KY,Financial Incentive,Rebate Program,9/12/2024,9/12/2024
Louisville Gas and Electric and Kentucky Utilities   Small Business Audit and Direct Install,KY,Financial Incentive,Rebate Program,9/12/2024,9/12/2024
Louisville Gas and Electric and Kentucky Utilities   Bring Your Own Thermostat,KY,Financial Incentive,Rebate Program,10/3/2024,10/3/2024
Louisville Gas and Electric and Kentucky Utilities   Optimized EV Charging,KY,Financial Incentive,Rebate Program,10/3/2024,10/3/2024
Solar Energy System Exemption,LA,Financial Incentive,Property Tax Incentive,2/7/2003,5/22/2024
Net Metering,LA,Regulatory Policy,Net Metering,8/1/2003,3/24/2025
Interconnection Guidelines,LA,Regulatory Policy,Interconnection,5/19/2004,1/14/2024
Cleco Power - Power Miser New Home Program,LA,Financial Incentive,Utility Rate Discount,5/8/2006,8/11/2023
Building Energy Code,LA,Regulatory Policy,Building Energy Code,7/21/2006,6/18/2023
City of New Orleans - Net Metering,LA,Regulatory Policy,Net Metering,4/17/2007,3/24/2025
Energy Reduction in Major State Facilities,LA,Regulatory Policy,Energy Standards for Public Buildings,8/28/2007,6/27/2024
Entergy New Orleans - Residential Energy Efficiency Program,LA,Financial Incentive,Rebate Program,11/6/2009,5/1/2024
Entergy New Orleans - Small and Large Commercial and Industrial Incentives Program,LA,Financial Incentive,Rebate Program,11/9/2009,8/11/2023
Louisiana Solar Rights,LA,Regulatory Policy,Solar/Wind Access Policy,6/30/2010,5/26/2023
Solar Contractor Licensing,LA,Regulatory Policy,Solar/Wind Contractor Licensing,8/11/2010,5/9/2024
Entergy (Louisiana and Gulf States) - Residential Energy Efficiency Program,LA,Financial Incentive,Rebate Program,6/19/2015,4/24/2024
AEP (SWEPCO) - Efficient Products Rebates Program,LA,Financial Incentive,Rebate Program,9/28/2015,8/11/2023
AEP (SWEPCO) - Louisiana Commercial Solutions Standard Offer Program,LA,Financial Incentive,Rebate Program,9/29/2015,8/11/2023
Cleco- Power Wise  Residential Program,LA,Financial Incentive,Rebate Program,10/22/2015,8/11/2023
Cleco- Power Wise  Commercial Program,LA,Financial Incentive,Rebate Program,10/22/2015,8/11/2023
New Orleans City - Energy Smart Program,LA,Financial Incentive,Rebate Program,11/10/2016,7/19/2022
Entergy (Louisiana and Gulf States) - eTech Program,LA,Financial Incentive,Rebate Program,7/29/2021,3/24/2025
Louisiana Community Solar Rules,LA,Regulatory Policy,Community Solar Rules,6/23/2022,5/22/2025
City of New Orleans - Community Solar Rules,LA,Regulatory Policy,Community Solar Rules,2/15/2023,5/20/2025
City of New Orleans - Renewable and Clean Portfolio Standard,LA,Regulatory Policy,Renewables Portfolio Standard,7/21/2023,7/1/2025
Entergy New Orleans - eTech Program,LA,Financial Incentive,Rebate Program,3/6/2024,3/6/2024
Cleco Power - Commercial EV Rebate,LA,Financial Incentive,Rebate Program,6/5/2024,6/5/2024
Cleco Power - Residential EV Rebate,LA,Financial Incentive,Rebate Program,6/5/2024,6/5/2024
Louisiana - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,LA,Financial Incentive,Grant Program,6/12/2024,6/12/2024
Residential Renewable Energy Income Tax Credit,MA,Financial Incentive,Personal Tax Credit,1/1/2000,1/2/2025
Renewable Energy Equipment Sales Tax Exemption,MA,Financial Incentive,Sales Tax Incentive,1/1/2000,1/2/2025
Renewable Energy Property Tax Exemption,MA,Financial Incentive,Property Tax Incentive,1/1/2000,1/2/2025
Excise Tax Exemption for Solar or Wind Powered Systems,MA,Financial Incentive,Corporate Tax Exemption,1/1/2000,1/2/2025
Excise Tax Deduction for Solar or Wind Powered Systems,MA,Financial Incentive,Corporate Tax Deduction,1/1/2000,1/2/2025
Net Metering,MA,Regulatory Policy,Net Metering,1/1/2000,1/2/2025
Massachusetts Solar Easements & Rights Laws,MA,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,1/3/2025
Renewable Portfolio Standard,MA,Regulatory Policy,Renewables Portfolio Standard,1/1/2000,1/2/2025
Fuel Mix and Emissions Disclosure,MA,Regulatory Policy,Generation Disclosure,1/1/2000,8/9/2023
Renewable Energy Trust Fund,MA,Regulatory Policy,Public Benefits Fund,1/1/2000,1/16/2024
Interconnection Standards,MA,Regulatory Policy,Interconnection,6/19/2003,1/14/2024
Holyoke Gas & Electric - Residential Energy Assistance Program,MA,Financial Incentive,Loan Program,4/12/2006,1/4/2025
Holyoke Gas & Electric - Commercial Energy Assistance Program,MA,Financial Incentive,Loan Program,4/12/2006,1/4/2025
Wakefield Municipal Gas & Light Department - Residential Conservation Services Program,MA,Financial Incentive,Rebate Program,4/14/2006,6/30/2025
Massachusetts Appliance and Equipment Energy Efficiency Standards,MA,Regulatory Policy,Appliance/Equipment Efficiency Standards,6/2/2006,10/31/2024
Chicopee Electric Light Department - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,7/18/2006,5/30/2025
Concord Municipal Light Plant - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,7/18/2006,5/30/2025
Concord Municipal Light Plant - Commercial Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,7/18/2006,1/4/2025
Mansfield Municipal Electric Department - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,7/19/2006,3/24/2025
Marblehead Municipal Light Department - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,7/19/2006,5/7/2024
Reading Municipal Light Department - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,7/24/2006,1/10/2025
Building Energy Code,MA,Regulatory Policy,Building Energy Code,7/27/2006,1/3/2023
Shrewsbury Electric - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,8/4/2006,1/5/2025
Mass Save - HEAT Loan Program,MA,Financial Incentive,Loan Program,9/1/2006,5/23/2024
Energy Efficiency Fund,MA,Regulatory Policy,Public Benefits Fund,9/21/2006,1/17/2024
Massachusetts LEED Plus 2.0 Standard for New Construction,MA,Regulatory Policy,Energy Standards for Public Buildings,5/29/2007,6/20/2024
Model As-of Right Zoning Ordinance or Bylaw: Allowing Use of Wind Energy Facilities,MA,Regulatory Policy,Solar/Wind Permitting Standards,11/2/2007,5/26/2023
Massachusetts Green Power Purchasing Commitment,MA,Regulatory Policy,Green Power Purchasing,4/18/2007,12/13/2024
NextZero - Offered by 21 Utilities through the MMWEC,MA,Financial Incentive,Rebate Program,1/15/2009,5/6/2024
Cape Light Compact - Commercial Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,7/8/2009,7/7/2023
Commonwealth Hydropower Program,MA,Financial Incentive,Grant Program,9/17/2009,6/6/2024
Concord Municipal Light Plant - Solar Photovoltaic Rebate Program,MA,Financial Incentive,Rebate Program,8/1/2009,1/4/2025
Model As-of Right Zoning Ordinance or Bylaw: Allowing Use of Large-Scale Solar Energy Facilities,MA,Regulatory Policy,Solar/Wind Permitting Standards,10/1/2009,5/26/2023
Green Communities Grant Program,MA,Financial Incentive,Grant Program,3/20/2010,6/7/2024
Local Option - Energy Revolving Loan Fund,MA,Financial Incentive,PACE Financing,8/10/2010,1/16/2024
MMWEC Green Opportunity Commercial and Industrial Efficiency Program,MA,Financial Incentive,Rebate Program,10/8/2010,8/11/2023
Energy Efficiency First Fuel Requirement (Gas and Electric),MA,Regulatory Policy,Energy Efficiency Resource Standard,12/15/2010,1/2/2025
Residential & Small-Scale Solar Hot Water Program,MA,Financial Incentive,Rebate Program,1/13/2011,1/2/2025
Taunton Municipal Lighting Plant - Residential Energy Star Appliance Rebate Program,MA,Financial Incentive,Rebate Program,8/8/2010,7/11/2025
